:compileJava UP-TO-DATE
:compileGroovy
:processResources UP-TO-DATE
:classes
:run
Start: Wed Oct 14 21:52:06 MDT 2015
This is week number 6
Working with 24 remaining teams.  620,448,401,733,239,439,360,000 permutations.
0.0000000000% Iteration: 21,000,000. Elapsed: 1 minutes, 53.184 seconds Best pick: nfl.Pick(iteration:18803027, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, PHI, MIA, TEN, NYJ, STL, MIN, WAS, OAK, SF, JAX, PIT], total:-39.5)
0.0000000000% Iteration: 22,000,000. Elapsed: 1 minutes, 58.397 seconds Best pick: nfl.Pick(iteration:18803027, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, PHI, MIA, TEN, NYJ, STL, MIN, WAS, OAK, SF, JAX, PIT], total:-39.5)
0.0000000000% Iteration: 23,000,000. Elapsed: 2 minutes, 3.607 seconds Best pick: nfl.Pick(iteration:18803027, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, PHI, MIA, TEN, NYJ, STL, MIN, WAS, OAK, SF, JAX, PIT], total:-39.5)
0.0000000000% Iteration: 24,000,000. Elapsed: 2 minutes, 8.769 seconds Best pick: nfl.Pick(iteration:18803027, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, PHI, MIA, TEN, NYJ, STL, MIN, WAS, OAK, SF, JAX, PIT], total:-39.5)
0.0000000000% Iteration: 25,000,000. Elapsed: 2 minutes, 14.046 seconds Best pick: nfl.Pick(iteration:18803027, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, PHI, MIA, TEN, NYJ, STL, MIN, WAS, OAK, SF, JAX, PIT], total:-39.5)
0.0000000000% Iteration: 26,000,000. Elapsed: 2 minutes, 19.237 seconds Best pick: nfl.Pick(iteration:18803027, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, PHI, MIA, TEN, NYJ, STL, MIN, WAS, OAK, SF, JAX, PIT], total:-39.5)
0.0000000000% Iteration: 27,000,000. Elapsed: 2 minutes, 24.440 seconds Best pick: nfl.Pick(iteration:18803027, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, PHI, MIA, TEN, NYJ, STL, MIN, WAS, OAK, SF, JAX, PIT], total:-39.5)
0.0000000000% Iteration: 28,000,000. Elapsed: 2 minutes, 29.605 seconds Best pick: nfl.Pick(iteration:18803027, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, PHI, MIA, TEN, NYJ, STL, MIN, WAS, OAK, SF, JAX, PIT], total:-39.5)
0.0000000000% Iteration: 29,000,000. Elapsed: 2 minutes, 34.797 seconds Best pick: nfl.Pick(iteration:18803027, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, PHI, MIA, TEN, NYJ, STL, MIN, WAS, OAK, SF, JAX, PIT], total:-39.5)
0.0000000000% Iteration: 30,000,000. Elapsed: 2 minutes, 39.972 seconds Best pick: nfl.Pick(iteration:18803027, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, PHI, MIA, TEN, NYJ, STL, MIN, WAS, OAK, SF, JAX, PIT], total:-39.5)
