:compileJava UP-TO-DATE
:compileGroovy UP-TO-DATE
:processResources UP-TO-DATE
:classes UP-TO-DATE
:run
Start: Thu Nov 05 13:29:27 MST 2015
This is week number 9
Working with 18 remaining teams.  6,402,373,705,728,000 permutations.
0.0000003905% Iteration: 25,000,000. Elapsed: 1 minutes, 55.192 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000004061% Iteration: 26,000,000. Elapsed: 1 minutes, 59.659 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000004217% Iteration: 27,000,000. Elapsed: 2 minutes, 4.150 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000004373% Iteration: 28,000,000. Elapsed: 2 minutes, 8.638 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000004530% Iteration: 29,000,000. Elapsed: 2 minutes, 13.051 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000004686% Iteration: 30,000,000. Elapsed: 2 minutes, 17.504 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000004842% Iteration: 31,000,000. Elapsed: 2 minutes, 22.778 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000004998% Iteration: 32,000,000. Elapsed: 2 minutes, 27.402 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000005154% Iteration: 33,000,000. Elapsed: 2 minutes, 31.994 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000005311% Iteration: 34,000,000. Elapsed: 2 minutes, 36.572 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000005467% Iteration: 35,000,000. Elapsed: 2 minutes, 41.629 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000005623% Iteration: 36,000,000. Elapsed: 2 minutes, 46.198 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000005779% Iteration: 37,000,000. Elapsed: 2 minutes, 50.637 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000005935% Iteration: 38,000,000. Elapsed: 2 minutes, 55.177 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000006091% Iteration: 39,000,000. Elapsed: 2 minutes, 59.497 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000006248% Iteration: 40,000,000. Elapsed: 3 minutes, 4.020 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
