:compileJava UP-TO-DATE
:compileGroovy UP-TO-DATE
:processResources UP-TO-DATE
:classes UP-TO-DATE
:run
Start: Tue Oct 20 22:10:52 MDT 2015
This is week number 7
Working with 22 remaining teams.  1,124,000,727,777,607,680,000 permutations.
0.0000000000% Iteration: 23,000,000. Elapsed: 1 minutes, 58.897 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 24,000,000. Elapsed: 2 minutes, 4.467 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 25,000,000. Elapsed: 2 minutes, 10.011 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 26,000,000. Elapsed: 2 minutes, 15.088 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 27,000,000. Elapsed: 2 minutes, 20.306 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 28,000,000. Elapsed: 2 minutes, 25.821 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 29,000,000. Elapsed: 2 minutes, 31.258 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 30,000,000. Elapsed: 2 minutes, 36.129 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 31,000,000. Elapsed: 2 minutes, 41.005 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 32,000,000. Elapsed: 2 minutes, 46.458 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 33,000,000. Elapsed: 2 minutes, 51.702 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 34,000,000. Elapsed: 2 minutes, 56.765 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 35,000,000. Elapsed: 3 minutes, 2.106 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 36,000,000. Elapsed: 3 minutes, 6.995 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 37,000,000. Elapsed: 3 minutes, 11.880 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 38,000,000. Elapsed: 3 minutes, 16.794 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 39,000,000. Elapsed: 3 minutes, 21.712 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 40,000,000. Elapsed: 3 minutes, 26.583 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 41,000,000. Elapsed: 3 minutes, 31.501 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 42,000,000. Elapsed: 3 minutes, 36.371 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 43,000,000. Elapsed: 3 minutes, 41.514 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 44,000,000. Elapsed: 3 minutes, 46.990 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
0.0000000000% Iteration: 45,000,000. Elapsed: 3 minutes, 51.875 seconds Best pick: nfl.Pick(iteration:3231457, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, HOU, IND, TEN, WAS, MIA, NYJ, JAX, STL, OAK, PHI, PIT, SF], total:965.0)
