:compileJava UP-TO-DATE
:compileGroovy UP-TO-DATE
:processResources UP-TO-DATE
:classes UP-TO-DATE
:run
Start: Wed Nov 18 23:13:46 MST 2015
This is week number 11
Working with 14 remaining teams.  87,178,291,200 permutations.
0.0458829850% Iteration: 40,000,000. Elapsed: 1 minutes, 59.141 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0470300578% Iteration: 41,000,000. Elapsed: 2 minutes, 2.040 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0481771305% Iteration: 42,000,000. Elapsed: 2 minutes, 4.925 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0493242070% Iteration: 43,000,000. Elapsed: 2 minutes, 7.788 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0504712798% Iteration: 44,000,000. Elapsed: 2 minutes, 10.674 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0516183563% Iteration: 45,000,000. Elapsed: 2 minutes, 13.555 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0527654290% Iteration: 46,000,000. Elapsed: 2 minutes, 16.451 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0539125055% Iteration: 47,000,000. Elapsed: 2 minutes, 19.300 seconds Best pick: nfl.Pick(iteration:19196273, teams:[ATL, BUF, CHI, JAX, GB, TEN, CLE, SF, IND, STL, MIA, PHI, DAL, HOU], total:-27.5)
0.0550595820% Iteration: 48,000,000. Elapsed: 2 minutes, 22.163 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0562066548% Iteration: 49,000,000. Elapsed: 2 minutes, 25.019 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0573537238% Iteration: 50,000,000. Elapsed: 2 minutes, 27.888 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0585008003% Iteration: 51,000,000. Elapsed: 2 minutes, 30.738 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0596478768% Iteration: 52,000,000. Elapsed: 2 minutes, 33.576 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
