:compileJava UP-TO-DATE
:compileGroovy
:processResources UP-TO-DATE
:classes
:run
Start: Thu Oct 30 00:55:52 MDT 2014
This is week number 9
Working with 18 remaining teams.  6,402,373,705,728,000 permutations.
0.0000003749% Iteration: 24,000,000. Elapsed: 2 minutes, 0.260 seconds Best pick: Pick(iteration:15956091, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, NE, MIN, STL, SD, SF, KC, NYG, JAX, OAK, MIA, SEA], total:-67.5)
0.0000003905% Iteration: 25,000,000. Elapsed: 2 minutes, 5.083 seconds Best pick: Pick(iteration:15956091, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, NE, MIN, STL, SD, SF, KC, NYG, JAX, OAK, MIA, SEA], total:-67.5)
0.0000004061% Iteration: 26,000,000. Elapsed: 2 minutes, 9.905 seconds Best pick: Pick(iteration:25738617, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, JAX, STL, MIN, SF, KC, NYG, NE, OAK, MIA, SEA], total:-76.5)
0.0000004217% Iteration: 27,000,000. Elapsed: 2 minutes, 14.765 seconds Best pick: Pick(iteration:25738617, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, JAX, STL, MIN, SF, KC, NYG, NE, OAK, MIA, SEA], total:-76.5)
0.0000004373% Iteration: 28,000,000. Elapsed: 2 minutes, 19.542 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000004530% Iteration: 29,000,000. Elapsed: 2 minutes, 24.374 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000004686% Iteration: 30,000,000. Elapsed: 2 minutes, 29.178 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000004842% Iteration: 31,000,000. Elapsed: 2 minutes, 34.001 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000004998% Iteration: 32,000,000. Elapsed: 2 minutes, 38.993 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000005154% Iteration: 33,000,000. Elapsed: 2 minutes, 44.287 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
