:compileJava UP-TO-DATE
:compileGroovy
:processResources UP-TO-DATE
:classes
:run
Start: Tue Sep 29 20:09:38 MDT 2015
This is week number 12
Working with 12 remaining teams.  479,001,600 permutations.
7.5156321526% Iteration: 36,000,000. Elapsed: 1 minutes, 58.745 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
7.7244000435% Iteration: 37,000,000. Elapsed: 2 minutes, 2.093 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
7.9331674576% Iteration: 38,000,000. Elapsed: 2 minutes, 5.415 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
8.1419353485% Iteration: 39,000,000. Elapsed: 2 minutes, 8.701 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
8.3507032394% Iteration: 40,000,000. Elapsed: 2 minutes, 12.077 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
8.5594701767% Iteration: 41,000,000. Elapsed: 2 minutes, 14.843 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
8.7682380676% Iteration: 42,000,000. Elapsed: 2 minutes, 17.583 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
8.9770059586% Iteration: 43,000,000. Elapsed: 2 minutes, 20.336 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
9.1857728958% Iteration: 44,000,000. Elapsed: 2 minutes, 23.105 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
9.3945407867% Iteration: 45,000,000. Elapsed: 2 minutes, 25.866 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
9.6033077240% Iteration: 46,000,000. Elapsed: 2 minutes, 28.595 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
9.8120756149% Iteration: 47,000,000. Elapsed: 2 minutes, 31.361 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
10.0208435059% Iteration: 48,000,000. Elapsed: 2 minutes, 34.140 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
10.2296104431% Iteration: 49,000,000. Elapsed: 2 minutes, 36.900 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
10.4383783340% Iteration: 50,000,000. Elapsed: 2 minutes, 39.676 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
